Position: [0.635128828983062, -0.8403211549849235, 90.94931923506007], Rotation: [-1.3391817000000004, 0.8825788500000011, 0.5930408311288585], Velocity: [0.7247985967784931, -0.9590492848836988, -12.098160750563459], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.6472088055960369, -0.8563053097329852, 90.74495822255068], Rotation: [-1.354570666666667, 0.8710962666666678, 0.5930408311288585], Velocity: [0.679938886568985, -0.8997268624946504, -12.171354677794714], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.6585411203721866, -0.8713007574412294, 90.5393773112541], Rotation: [-1.3699596333333337, 0.8596136833333345, 0.5930408311288585], Velocity: [0.635079176359477, -0.840404440105602, -12.244548605025969], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.6691257733115112, -0.885307498109656, 90.33257650117034], Rotation: [-1.3853486000000004, 0.8481311000000012, 0.5930408311288585], Velocity: [0.5902194661499689, -0.7810820177165536, -12.317742532257224], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.6789627644140107, -0.8983255317382652, 90.12455579229939], Rotation: [-1.400737566666667, 0.836648516666668, 0.5930408311288585], Velocity: [0.5453597559404608, -0.7217595953275052, -12.39093645948848], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.688052093679685, -0.910354858327057, 89.91531518464124], Rotation: [-1.4161265333333337, 0.8251659333333347, 0.5930408311288585], Velocity: [0.5005000457309527, -0.6624371729384568, -12.464130386719734], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.6963937611085342, -0.9213954778760313, 89.70485467819591], Rotation: [-1.4315155000000004, 0.8136833500000014, 0.5930408311288585], Velocity: [0.4556403355214447, -0.6031147505494084, -12.53732431395099], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.7039877667005583, -0.9314473903851881, 89.4931742729634], Rotation: [-1.446904466666667, 0.8022007666666681, 0.5930408311288585], Velocity: [0.4107806253119366, -0.54379232816036, -12.610518241182245], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.7108341104557573, -0.9405105958545275, 89.2802739689437], Rotation: [-1.4622934333333337, 0.7907181833333348, 0.5930408311288585], Velocity: [0.3659209151024285, -0.48446990577131166, -12.6837121684135], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.7169327923741311, -0.9485850942840494, 89.06615376613681], Rotation: [-1.4776824000000004, 0.7792356000000015, 0.5930408311288585], Velocity: [0.32106120489292045, -0.42514748338226327, -12.756906095644755], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.7222838124556797, -0.9556708856737537, 88.85081366454273], Rotation: [-1.493071366666667, 0.7677530166666682, 0.5930408311288585], Velocity: [0.2762014946834124, -0.3658250609932149, -12.83010002287601], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
